word,hypernym
surprise,astonishment
swallows,oscine
swans,aquatic bird
swim,water sport
table,tableland
talk,conversation
talons,claw
tapir,odd-toed ungulate
tasks,work
teller,official
telling,narration
thieves,criminal
thorn,annoyance
throat,tubular cavity
thrust,force
thumb,finger
thunders,noise
thunderstorms,storm
ties,neckwear
tiger,big cat
toes,digit
tool,slave
tools,slave
tortoise,turtle
trace,small indefinite quantity
traces,small indefinite quantity
traits,attribute
transformer,electrical device
transparence,physical phenomenon
traveler,person
treatment,care
trick,customer
tricks,customer
triggers,lever
trunk,stalk
tunnel,hole
type,adult
uncle,kinsman
ungulate,placental
upside,side
urine,body waste
vegetation,collection
vessels,tube
village,community
vine,vascular plant
voices,sound
vomits,body waste
vultures,bird of prey
vulva,female genitalia
wager,gambling
waist,area
wait,pause
waiting,inactivity
walks,locomotion
warning,informing
wash,streambed
wasp,hymenopterous insect
watchman,guard
waters,Waters
weaving,handicraft
wet,wetness
whale,cetacean
wheat,cereal
whistling,sound
win,victory
wing,hockey player
winner,contestant
witch,occultist
wizard,expert
wolverine,musteline mammal
womb,female internal reproductive organ
worlds,natural object
worm,invertebrate
worms,invertebrate
worse,bad
wounds,injury
yarn,report
