motif_id,n_biomes_assigned,z_true,z_threshold_95,keep_in_filtered
m111,3,1.4827733847735916,2.828476905822754,True
m114f,2,0.22265266840438816,2.828476905822754,True
m132a,2,1.6589279400279606,2.828476905822754,True
m147a,3,0.4181010401722298,2.828476905822754,True
m139,2,0.704942074346188,2.828476905822754,True
l76,2,0.6270376679579496,2.828476905822754,True
m168a,2,0.19438378881128884,2.828476905822754,True
m123,3,-1.621853617011399,2.828476905822754,True
m123c,3,-2.3989447143095934,2.828476905822754,True
m141a,3,0.6106160657802142,2.828476905822754,True
m152d,3,0.6506521682819149,2.828476905822754,True
m168b,3,-0.3999299343474952,2.828476905822754,True
m144a,2,-0.22812328859865474,2.828476905822754,True
m173,2,2.1122266479114002,2.828476905822754,True
m179b,2,-0.45324714794035714,2.828476905822754,True
m162a,3,-0.6649260126422625,2.828476905822754,True
m15,1,-0.6947872319188493,2.828476905822754,True
m180a,2,1.3794717332358606,2.828476905822754,True
m175,3,1.0755857315201631,2.828476905822754,True
m162b,1,0.46222624564479703,2.828476905822754,True
m157a5,3,1.576272710434883,2.828476905822754,True
m123d,3,-2.3378767440913433,2.828476905822754,True
m190,3,-1.1146522664049472,2.828476905822754,True
m195b,3,2.043937307595464,2.828476905822754,True
m144,3,1.1025143825499764,2.828476905822754,True
m199d1,3,2.5902779002366754,2.828476905822754,True
m181b,3,0.6195803543018898,2.828476905822754,True
l77,2,1.6061695977316934,2.828476905822754,True
m182a,3,-0.5056811603435191,2.828476905822754,True
m181,3,2.845365263802263,2.828476905822754,False
m182a1,3,-0.5415048127702957,2.828476905822754,True
m199c1,3,0.607004891668534,2.828476905822754,True
m23a,2,1.2120278257780885,2.828476905822754,True
m199g2,1,0.3219462371448686,2.828476905822754,True
m1a,2,1.158838326563739,2.828476905822754,True
m198a2,3,1.9104227183898075,2.828476905822754,True
m198b3,3,-0.11874280276273931,2.828476905822754,True
m29d,3,-0.9745200384890429,2.828476905822754,True
m29qq,2,1.274561752059007,2.828476905822754,True
m29nn,3,1.2092727843118798,2.828476905822754,True
m29j,3,-0.5569029927675382,2.828476905822754,True
m29y,3,-0.7123511093739259,2.828476905822754,True
m20,3,-1.3574967505003368,2.828476905822754,True
m38d5,2,0.6494186905157286,2.828476905822754,True
m37,3,1.30633268003503,2.828476905822754,True
m26,3,-0.3903140867321615,2.828476905822754,True
m38d4,2,1.9715153070917386,2.828476905822754,True
m38e,3,1.5371135996361553,2.828476905822754,True
m2,3,1.2615616081615113,2.828476905822754,True
m199h,3,1.0567885798709118,2.828476905822754,True
m199j,3,0.4306273892339982,2.828476905822754,True
m27,3,1.2843919390216476,2.828476905822754,True
m32a,3,-0.37134440220366505,2.828476905822754,True
m39a5,2,1.147264297606866,2.828476905822754,True
m53a,3,-1.7971774069923476,2.828476905822754,True
m55,3,0.6484504240057848,2.828476905822754,True
m39a3a,3,3.223552305339175,2.828476905822754,False
m48,3,-0.5356194353363607,2.828476905822754,True
m39b,2,-0.46313223547728183,2.828476905822754,True
m39a4b,2,0.39674473036067687,2.828476905822754,True
m39a5a1,2,0.25852708814334,2.828476905822754,True
m56c,2,1.709764476423861,2.828476905822754,True
m53e,2,-0.0494157707215488,2.828476905822754,True
m61a2,1,1.2741919264413006,2.828476905822754,True
m54,3,-0.10588217860853552,2.828476905822754,True
m42c,2,1.7598183964876484,2.828476905822754,True
