tradition_oid,group_Berezkin,lat,lon,biome_wwf,ecoregion,bbox_half_deg_used,total_available_in_final_bbox,n_sampled
696.0,Sherente,-10.5,-48.0,Tropical & Subtropical Moist Broadleaf Forests,Mato Grosso tropical dry forests,0.5,922,50
697.0,Sheta,-25.5,-51.5,Tropical & Subtropical Moist Broadleaf Forests,Araucaria moist forests,0.5,1125,50
698.0,"Anuak, Shilluk",7.5,33.5,Flooded Grasslands & Savannas,Sudd flooded grasslands,1.0,152,50
699.0,Shipaya,-4.5,-54.0,Tropical & Subtropical Moist Broadleaf Forests,Tapajós-Xingu moist forests,0.5,65,50
700.0,Shipibo-Conibo,-7.0,-75.0,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests,0.5,58,50
701.0,Shona,-18.0,31.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Dry miombo woodlands,0.5,12557,50
702.0,Shor,53.0,88.5,Temperate Conifer Forests,Sayan montane conifer forests,0.5,1813,50
703.0,"Shuar,Achuar,Huambiza",-3.0,-77.0,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests,0.5,428,50
704.0,Shuswap,52.0,-120.0,Temperate Conifer Forests,Northern Rockies conifer forests,0.5,10867,50
705.0,Siberian Tatars,54.0,80.0,"Temperate Grasslands, Savannas & Shrublands",Kazakh forest steppe,0.5,1181,50
706.0,"Kamsa, Ingano",1.0,-77.0,Tropical & Subtropical Moist Broadleaf Forests,Eastern Cordillera Real montane forests,0.5,8995,50
707.0,Sicilia,37.5,14.0,"Mediterranean Forests, Woodlands & Scrub",Tyrrhenian-Adriatic sclerophyllous and mixed forests,0.5,12185,50
708.0,Sicuani,5.0,-69.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Llanos,1.0,1588,50
709.0,Sierra Miwok,37.79999923706055,-121.0,"Temperate Grasslands, Savannas & Shrublands",California Central Valley grasslands,0.5,69331,50
710.0,"Nias,Simeulue",1.5,97.19999694824219,Tropical & Subtropical Moist Broadleaf Forests,Sumatran lowland rain forests,1.0,244,50
711.0,Sindhi,25.082799911499023,69.02734375,Deserts & Xeric Shrublands,Aravalli west thorn scrub forests,0.5,89,50
712.0,Sinhalese,7.5,80.5,Tropical & Subtropical Dry Broadleaf Forests,Sri Lanka dry-zone dry evergreen forests,0.5,22746,50
713.0,"Siona,Coreguaje",0.5,-75.5,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests,0.5,259,50
714.0,Siriono,-14.0,-65.0,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests,0.5,406,50
715.0,Slovakians,48.70000076293945,19.5,Temperate Conifer Forests,Carpathian montane forests,0.5,25345,50
716.0,Slovenians,46.0,14.0,Temperate Broadleaf & Mixed Forests,Dinaric Mountains mixed forests,0.5,98115,50
717.0,"Tahiti, Society islands",-17.733980178833008,-149.45120239257812,Tropical & Subtropical Moist Broadleaf Forests,Society Islands tropical moist forests,0.5,22144,50
718.0,Soko,1.0,24.0,Tropical & Subtropical Moist Broadleaf Forests,Eastern Congolian swamp forests,0.5,530,50
719.0,Somali,4.0,46.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Somali Acacia-Commiphora bushlands and thickets,2.0,83,50
720.0,Songe,-5.5,25.5,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Southern Congolian forest-savanna,5.0,22792,50
721.0,Songhai,16.5,0.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Sahelian Acacia savanna,0.5,59,50
722.0,Soninke,14.399999618530273,-12.199999809265137,"Tropical & Subtropical Grasslands, Savannas & Shrublands",West Sudanian savanna,0.5,180,50
723.0,Soqotri,12.399999618530273,53.79999923706055,Deserts & Xeric Shrublands,Socotra Island xeric shrublands,0.5,4606,50
724.0,Sora,19.5,85.0,Tropical & Subtropical Moist Broadleaf Forests,Orissa semi-evergreen forests,0.5,2703,50
725.0,Sorbs,51.5,14.399999618530273,Temperate Broadleaf & Mixed Forests,Central European mixed forests,0.5,46927,50
726.0,SE Australia,-34.0,145.0,"Temperate Grasslands, Savannas & Shrublands",Southeast Australia temperate savanna,0.5,281,50
727.0,"Altai-Kiji, Telengit",50.0,88.0,Montane Grasslands & Shrublands,Altai alpine meadow and tundra,0.5,17119,50
728.0,"Okinawa,Miyako,Yaeyama",26.5,127.5,Tropical & Subtropical Moist Broadleaf Forests,Nansei Islands subtropical evergreen forests,0.5,19640,50
729.0,Southern Australia,-32.0,134.0,Deserts & Xeric Shrublands,Great Victoria desert,0.5,1036,50
730.0,Cook Islands southern,-20.0,-158.3000030517578,Tropical & Subtropical Moist Broadleaf Forests,Cook Islands tropical moist forests,0.5,334,50
731.0,Southern Gur,11.0,-4.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",West Sudanian savanna,0.5,141,50
732.0,Southern Khanty,60.0,70.0,Boreal Forests/Taiga,West Siberian taiga,0.5,150,50
