motif_id,ru_hits,en_hits
k33b,вельд | степь,
k33c,пустыне | степи | степь,
k33d,пустыне | пустыню | степи,
k33d1,пустыне | пустыню,
k33f,пустыне | пустыни | пустыню | степь,
k33g,пустыне | пустыню | степи | степь,
k33h,пустыне | степи | степь,
k34,саванна | степь,
k35,леднике | степной | степные,
k35a,пустыне | пустыню | пустыня | степи | степь,
k35a1,пустыню | степи,
k35a3,леднике,
k35b,пустыню,
k35c,пустыне | пустыню | степь,
k35c1,пустыне | пустыню | степь,
k36,пустыне | пустыню | степь,
k37,джунгли | пустыне | пустыню | саванну | степи | степные | степь | тайгу,
k37a,степь,
k38,пустыне | пустыни | пустыня | степи | степная | степной | степь | тайге | тайгой,
k38b,пустыне | пустыни | пустыня | степи | степная | степь,
k38b3,пустыню,
k38c,пустыне | пустыню | степи | степная | степь,
k38d,ледника | пустыне | степи,
k38e,мерзлоты | пустыню | степи,
k38f,пустыне | пустыня | степи,
k39,пустыня | степь | тундру,
k40,пустыне,
k41,степные,
k44,тундре | тундру | ярангу,
k44b,степь,
k47a,ледник | степь,
k47b,степь | тайге,
k47c,саваннах,
k48,пустыне | пустынной | пустыню,
k49,степь,
k50,прерии,
k51,тундре,
k52,ледником,
k52c,тундру | яранге | яранги,
k54,тундра | тундре,
k56,пустыню | саванне | саванну | тундру,
k56a,тундра | тундре | тундру | тундры | яранги,
k56a3,тундра,
k56a5b,,frost
k56a7,,snow
k56a8,тундру,
k56a8a,тундру | яранга,
k56a9,пустыне | степи,
k56aa,яранги,
k56b,пустыне | саванну | тайге | тундра | тундре | тундру | яранге | ярангу,
k57,пустыню | степи,
k58,степь,
k59,ярангу,canoe
k60a,пустыне | степь | тайге,
k60b,пустыне | пустыня,
k60c,пустыне | пустыню,
k62a,тайга | тайгу | тундровая | тундровые,
k65,тундру,
k66,леднике | пустыню | пустыня | степи | степь | тундру,frost
k66a,пустыне,
k66b,леднике | пустыне,
k67,степи | степные,
k67a,степи,
k67c,степи,
k70,тайге | тайгу,
k71,степной,
k72,пустыне | пустыню | степи | степная | степь | тайгу,
k73,пустыне | пустыни | пустыню | степи | степная | степь | тайгу,
k73a,пустыни | пустыню | степи,
k73b,степь,
k73c,пустыню | степи,
k74,пустыне | степи | степной | тайге | тундру,
k74a,степи | тундра | тундру | яранги | ярангу,
k75,пустыне | пустыни | пустыню | пустыня | степи | степные | степь,
k75a,пустыне | пустынный | пустыню | пустыня | степи | степь,
k76,пустыне | пустыни,
k76b,пустыне,
k77b,степь,
k77b1,степь,
k78,саванну | степи,
k79,степи | степь,
k80,пустыне | пустыню | степи | степь | тайге | тайгой,
k80a,пустыне | пустыню | степи | степь,
k80a1,пустыне | степь,
k80a2,пустыню | степи | степь,
k80c,пустынной | степи,
k80c2,оазисе,
k80d,пустыне | пустыни | пустыню,
k81,пустыню,
k82,пустыне | пустыню | степи | степь,
k82a,пустыне | пустыню,
k83,пустыне | пустыня | степи,
k84,пустыне | тундру,
k88,пустыне | степи,
k88a,пустыне | пустынным | пустыню,
k88b,пустыне | пустынным | пустыню | степи,
k89,тайгу,
k89b,тайгу,
k89d,тайгу,
k8a,пустыне | пустыня | степей | степи | степные | степь | тайге | тайги | тайгой,
k8aa,пустыню,
k8c,степи,
k8c1,степи,
k8d,ледник | степи | степные,
k8e,степные,
k90,степи,
k92,пустыне | пустыню,
